Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Belarus,BLR,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8366.632185,8262.17851,7452.92486,6871.033193,6074.240988,5460.138412,5631.806278,6300.497992,6862.29738,7125.522957,7574.404998,7973.113507,8428.863245,9085.886216,10195.51082,11230.33143,12429.23521,13560.22849,14995.07763,15058.60445,16260.59268,17166.69564,17472.32493,17644.85441,17933.34272,17219.12065,16763.03611,17193.42414,17741.86223,
Belize,BLZ,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5115.843479,5595.635272,6167.309469,6444.969017,6325.291001,6203.53947,6094.802941,6085.38722,6075.463343,6367.027007,6953.700926,7080.643972,7235.652168,7703.683239,7855.36167,7850.719796,7998.221614,7878.522935,7926.208709,7780.765108,7849.2257,7830.225867,7875.139493,7764.991164,7877.369836,7976.89948,7769.262532,7726.380697,7810.23806,
Bermuda,BMU,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40553.25852,39322.10918,39584.32986,40557.22016,40518.40782,41999.25946,42816.96324,44514.10942,45911.6865,47199.84145,51140.23684,54245.14964,53096.92549,54549.80116,55452.63888,56017.19162,58784.59329,60117.45991,60675.98209,57151.91913,56395.0078,54984.51039,52137.30037,50669.31477,,,,,,
Bolivia,BOL,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3702.601744,3816.100617,3797.969198,3877.841254,3975.149612,4076.204224,4168.167083,4287.481071,4414.51527,4347.289872,4370.979392,4360.6767,4385.958641,4422.421266,4524.069812,4640.556163,4778.721394,4911.633098,5126.199627,5210.742221,5337.325628,5524.717798,5715.524848,6008.592584,6239.548296,6444.375115,6620.438018,6798.929349,6986.046487,
Brazil,BRA,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10341.6588,10314.92952,10092.9675,10389.40474,10766.28922,11062.2949,11128.27666,11327.54078,11193.38118,11080.42433,11403.06706,11404.59162,11599.55019,11585.29011,12106.28954,12351.60018,12701.73767,13333.61161,13874.21083,13724.09965,14619.51108,15061.95663,15214.76548,15535.62791,15480.86805,14807.22055,14200.31667,14236.01775,14282.72182,
Barbados,BRB,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14122.90484,13520.05499,12528.78765,12634.38584,13062.12201,13273.18848,13743.10764,14333.47083,14806.17385,14793.18173,15391.37863,14971.15639,15040.09364,15314.48623,15476.07084,16030.77157,16869.04072,17091.32732,17036.22021,16291.99146,16275.77517,16333.19912,16337.9562,16305.17971,16277.83997,16396.29201,16697.77076,16839.00058,,
Brunei,BRN,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84693.33697,84900.19823,86445.68675,84311.31347,84627.92782,86138.62538,86433.80701,83159.54389,80833.08799,81495.88323,82068.29762,82616.93753,84146.06064,84993.82456,83963.23807,82977.11116,85421.55909,84480.77701,81869.17608,79485.00158,80556.18072,82502.9353,82149.9098,79323.43745,76448.59333,75073.93657,72369.52337,72523.836,71802.45535,
Bhutan,BTN,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2353.610673,2327.227587,2434.829091,2492.145596,2618.981531,2789.968358,2908.002351,3007.377004,3113.738475,3283.766911,3433.362625,3637.365852,3946.648274,4169.129593,4339.1015,4577.052025,4826.046468,5627.24821,5836.436383,6163.403237,6814.294281,7269.343133,7547.825638,7615.588686,7954.380855,8380.123518,8943.849139,9246.676763,9347.826454,
Botswana,BWA,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8501.719639,8863.303623,8872.779184,8812.983989,8910.14121,9308.625587,9618.518674,10177.90712,9993.413907,10725.1017,10718.16509,10543.91351,10987.29066,11298.32906,11399.44431,11696.60151,12420.62024,13165.03113,13693.8663,12400.88894,13235.16427,13838.60282,14284.11858,15727.18706,16175.23945,15659.89681,16037.21448,16165.33839,16518.23575,
Central African Republic,CAF,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,982.659793,952.8631518,867.3265415,845.4048673,861.6909708,898.6119418,840.3512652,862.9256768,881.8932817,892.4508857,850.533326,869.0302946,881.486666,816.9232666,848.6890324,839.7483783,862.7885946,885.3551412,887.6085579,949.5513252,982.3933255,1016.218552,1063.297485,678.3499044,676.6758214,702.9853244,730.9368726,753.8248792,774.6877366,
